State,District,Crop,Season,Soil_Type,Rainfall_mm,Temperature_C,Humidity_pct,Area_hectares,Fertilizer_kg_per_hectare,Pesticide_kg_per_hectare,Price_per_quintal
West Bengal,Birbhum,Bajra,Kharif,Alluvial,1005.3,31.1,70.2,29.62,212.1,0.8,1824.11
Karnataka,Shimoga,Rice,Rabi,Desert (Arid),352.7,19.7,62.8,39.17,51.0,24.93,2998.48
Bihar,Bhagalpur,Tomato,Kharif,Mountain,483.1,33.2,97.8,32.68,45.3,22.48,996.33
West Bengal,Burdwan,Rice,Whole Year,Red,628.9,28.3,60.7,2.29,21.5,1.77,2001.52
Madhya Pradesh,Bhopal,Rice,Zaid,Clay,71.2,32.6,36.1,46.43,236.2,17.6,2144.23
Rajasthan,Udaipur,Jowar,Zaid,Desert (Arid),285.3,38.5,39.2,42.63,63.5,18.5,4920.18
Madhya Pradesh,Gwalior,Bajra,Zaid,Alluvial,196.1,30.1,35.7,31.01,31.9,22.16,2531.08
Maharashtra,Ahmednagar,Jowar,Rabi,Desert (Arid),242.2,28.9,58.3,32.0,180.3,4.06,3327.81
West Bengal,Hooghly,Bajra,Rabi,Sandy Loam,382.2,21.2,66.8,7.85,162.3,10.4,2305.32
Telangana,Nizamabad,Bajra,Rabi,Clay,122.1,15.9,44.0,31.91,135.3,10.52,2580.76
Madhya Pradesh,Bhopal,Groundnut,Rabi,Laterite,395.8,20.5,37.6,11.67,180.3,14.36,5635.54
Tamil Nadu,Salem,Soybean,Zaid,Black (Regur),123.6,36.0,46.7,31.49,121.0,13.06,6122.62
Uttar Pradesh,Meerut,Mustard,Rabi,Clay,287.6,16.5,42.4,16.07,254.5,12.61,5798.59
Andhra Pradesh,Krishna,Jowar,Rabi,Laterite,311.4,18.1,70.6,16.04,228.0,0.86,2753.77
Tamil Nadu,Coimbatore,Bajra,Zaid,Alluvial,169.4,40.5,36.1,18.56,288.4,24.89,3219.0
West Bengal,Hooghly,Potato,Zaid,Red,243.1,36.5,41.6,10.85,167.0,4.51,2114.65
Andhra Pradesh,Krishna,Onion,Whole Year,Sandy Loam,449.9,31.4,71.7,7.51,145.5,10.12,1858.76
Bihar,Patna,Cotton,Kharif,Black (Regur),560.9,31.2,75.0,2.71,85.2,7.66,5789.4
Gujarat,Rajkot,Sugarcane,Whole Year,Clay,332.0,21.9,52.4,32.06,201.8,16.92,266.35
Gujarat,Rajkot,Potato,Whole Year,Red,398.2,29.4,42.8,38.55,258.6,12.87,1113.74
Uttar Pradesh,Varanasi,Mustard,Whole Year,Desert (Arid),518.5,30.7,79.6,5.7,131.6,22.97,4358.05
Karnataka,Belgaum,Bajra,Whole Year,Mountain,857.4,31.3,60.1,15.72,187.6,0.68,2155.97
Uttar Pradesh,Allahabad,Bajra,Whole Year,Laterite,615.4,25.1,56.6,38.19,272.9,18.16,2044.24
Punjab,Patiala,Onion,Rabi,Mountain,328.2,17.6,20.0,32.88,291.5,24.62,2807.05
Punjab,Ludhiana,Wheat,Rabi,Alluvial,236.0,23.8,53.8,38.98,157.1,24.65,2350.94
Madhya Pradesh,Indore,Sugarcane,Zaid,Desert (Arid),112.7,39.3,55.0,46.27,250.3,1.41,390.33
West Bengal,Nadia,Tur (Arhar),Zaid,Clay,163.7,39.6,56.5,43.34,227.0,20.12,9384.16
Uttar Pradesh,Lucknow,Tomato,Zaid,Red,146.8,31.7,34.9,1.97,132.4,22.44,2743.64
Rajasthan,Kota,Onion,Whole Year,Red,519.5,28.2,62.6,29.72,131.1,7.23,853.62
Uttar Pradesh,Meerut,Groundnut,Whole Year,Desert (Arid),556.5,24.6,56.4,15.17,134.2,3.85,5418.35
Bihar,Patna,Soybean,Rabi,Sandy Loam,310.6,24.3,62.7,25.1,57.6,9.45,4324.43
Bihar,Bhagalpur,Potato,Rabi,Laterite,193.8,18.1,42.9,47.98,230.5,13.75,920.05
Uttar Pradesh,Allahabad,Potato,Rabi,Desert (Arid),207.6,22.6,53.0,37.24,185.4,16.51,1026.61
Maharashtra,Ahmednagar,Rice,Rabi,Alluvial,256.2,21.3,64.0,39.7,239.5,11.24,2615.01
Punjab,Patiala,Potato,Rabi,Clay,189.6,15.2,54.8,9.67,177.4,3.0,1182.26
Telangana,Warangal,Tomato,Whole Year,Mountain,878.7,32.8,70.2,2.53,88.9,2.11,1007.96
Telangana,Nalgonda,Wheat,Zaid,Laterite,190.7,30.7,35.1,3.5,215.5,5.57,2480.22
Karnataka,Belgaum,Groundnut,Whole Year,Black (Regur),642.9,27.9,67.6,25.65,157.1,8.66,4316.34
Andhra Pradesh,Krishna,Cotton,Zaid,Black (Regur),140.5,37.7,61.2,24.25,211.3,6.09,6174.41
Gujarat,Vadodara,Maize,Kharif,Desert (Arid),1037.6,25.5,74.1,7.34,277.3,0.73,1627.09
Andhra Pradesh,East Godavari,Sugarcane,Kharif,Desert (Arid),819.3,30.0,86.9,29.71,257.8,0.62,243.29
Bihar,Darbhanga,Cotton,Rabi,Black (Regur),218.1,15.6,59.2,23.0,189.0,24.62,6474.88
Bihar,Patna,Bajra,Rabi,Black (Regur),373.0,16.2,46.2,20.99,108.9,2.41,2399.46
Madhya Pradesh,Gwalior,Onion,Zaid,Red,183.8,33.8,43.4,16.2,269.2,15.05,2903.88
Rajasthan,Kota,Mustard,Kharif,Sandy Loam,173.9,27.0,70.9,0.7,24.6,24.83,6259.45
Maharashtra,Nagpur,Maize,Zaid,Black (Regur),130.7,34.8,48.0,3.0,186.5,7.72,1994.49
Karnataka,Belgaum,Sugarcane,Whole Year,Clay,473.6,32.9,68.4,13.06,191.0,14.06,289.21
Karnataka,Mysore,Tur (Arhar),Whole Year,Black (Regur),546.2,30.4,69.4,25.97,23.5,20.0,5900.09
Uttar Pradesh,Meerut,Soybean,Kharif,Mountain,1055.9,28.9,67.6,7.89,289.2,4.87,3715.7
Maharashtra,Nagpur,Potato,Zaid,Mountain,113.6,32.6,56.3,19.26,164.8,18.67,1348.65
Gujarat,Vadodara,Potato,Zaid,Clay,146.7,34.4,42.3,40.01,48.0,5.51,2047.98
West Bengal,Nadia,Potato,Whole Year,Mountain,685.8,27.4,63.4,16.3,190.4,14.73,1210.32
Maharashtra,Pune,Maize,Rabi,Laterite,200.8,21.8,54.1,20.01,56.7,4.49,2820.97
Tamil Nadu,Thanjavur,Mustard,Whole Year,Desert (Arid),586.7,23.3,63.9,14.27,76.6,5.05,4238.57
Gujarat,Ahmedabad,Mustard,Kharif,Sandy Loam,740.6,26.9,90.8,32.8,158.7,3.21,4871.28
West Bengal,Birbhum,Wheat,Whole Year,Desert (Arid),836.6,28.1,82.7,47.67,40.1,3.88,2009.75
Bihar,Bhagalpur,Bajra,Rabi,Desert (Arid),253.1,21.4,50.1,8.68,90.9,4.43,3160.16
Gujarat,Rajkot,Onion,Rabi,Alluvial,201.6,21.9,77.8,38.73,77.9,23.57,1206.75
West Bengal,Burdwan,Onion,Zaid,Black (Regur),235.3,35.1,34.1,20.97,146.0,6.51,3219.8
Punjab,Jalandhar,Tur (Arhar),Kharif,Red,681.2,26.8,74.2,8.48,283.2,22.26,5209.65
Tamil Nadu,Coimbatore,Jowar,Whole Year,Laterite,547.0,27.3,80.4,7.02,55.2,23.83,2660.2
Bihar,Gaya,Maize,Rabi,Clay,259.9,23.4,48.8,6.39,276.7,8.38,2045.33
Andhra Pradesh,West Godavari,Maize,Whole Year,Sandy Loam,969.5,28.5,52.0,41.01,227.7,11.98,1391.62
Bihar,Gaya,Rice,Whole Year,Mountain,796.6,31.8,66.3,37.67,242.2,5.69,1706.04
Madhya Pradesh,Jabalpur,Tomato,Rabi,Red,270.2,22.3,49.8,3.57,148.3,3.66,1644.66
Madhya Pradesh,Bhopal,Groundnut,Zaid,Mountain,122.1,42.2,50.3,33.17,187.9,12.08,6065.31
Uttar Pradesh,Allahabad,Onion,Zaid,Alluvial,89.7,33.2,29.3,22.76,269.9,18.87,2228.39
Maharashtra,Ahmednagar,Tur (Arhar),Rabi,Mountain,200.2,15.5,60.7,20.46,177.3,18.13,7417.67
Rajasthan,Udaipur,Soybean,Zaid,Laterite,163.8,33.4,25.7,22.28,55.2,2.75,5471.19
Gujarat,Rajkot,Onion,Kharif,Black (Regur),888.1,31.1,73.4,43.1,89.1,16.86,1115.41
West Bengal,Hooghly,Tur (Arhar),Whole Year,Sandy Loam,654.2,31.2,64.0,10.52,171.8,17.68,4659.47
Andhra Pradesh,Krishna,Tur (Arhar),Whole Year,Desert (Arid),680.4,27.0,73.6,34.43,26.5,10.3,6203.25
Maharashtra,Ahmednagar,Onion,Rabi,Red,250.2,19.1,65.9,27.46,157.2,15.99,3547.84
Karnataka,Raichur,Tomato,Whole Year,Alluvial,787.6,30.9,51.4,38.35,233.5,12.27,1314.28
Rajasthan,Jodhpur,Sugarcane,Rabi,Desert (Arid),343.6,14.7,51.7,20.79,81.3,20.49,337.8
Uttar Pradesh,Meerut,Maize,Whole Year,Black (Regur),576.3,26.7,61.4,38.83,52.4,10.06,1549.69
Telangana,Karimnagar,Bajra,Whole Year,Sandy Loam,918.8,23.0,56.7,49.05,39.5,3.88,2296.7
Uttar Pradesh,Lucknow,Tur (Arhar),Whole Year,Desert (Arid),474.1,26.9,78.3,21.46,174.6,12.77,7208.8
Tamil Nadu,Thanjavur,Mustard,Kharif,Alluvial,939.8,29.2,62.6,36.53,293.5,8.3,3351.6
West Bengal,Hooghly,Cotton,Whole Year,Mountain,549.5,23.5,68.4,41.15,136.7,8.38,5823.32
West Bengal,Hooghly,Maize,Zaid,Sandy Loam,96.4,34.9,21.6,5.26,63.0,13.58,2369.98
Gujarat,Vadodara,Wheat,Kharif,Red,790.6,32.9,68.7,41.24,67.0,4.1,2099.95
Madhya Pradesh,Indore,Wheat,Rabi,Laterite,171.0,14.3,71.1,37.02,92.1,18.93,2671.4
Maharashtra,Nashik,Bajra,Kharif,Mountain,914.0,27.2,84.9,6.39,44.1,4.82,2575.92
West Bengal,Birbhum,Maize,Whole Year,Mountain,656.4,23.3,43.8,22.71,130.0,21.94,1451.91
Uttar Pradesh,Meerut,Tomato,Rabi,Red,389.4,18.7,60.3,28.54,174.3,20.8,671.89
Rajasthan,Jodhpur,Mustard,Zaid,Red,86.9,34.8,30.4,21.22,232.2,20.75,5348.37
Telangana,Nizamabad,Groundnut,Zaid,Mountain,159.3,32.9,47.9,3.77,20.3,5.7,6642.66
Rajasthan,Jaipur,Mustard,Whole Year,Laterite,441.4,30.5,78.1,46.81,36.7,5.77,5072.63
Gujarat,Ahmedabad,Groundnut,Kharif,Alluvial,657.7,32.2,58.4,9.22,57.7,21.58,4735.08
Uttar Pradesh,Agra,Sugarcane,Whole Year,Desert (Arid),567.8,25.8,59.8,10.67,268.7,23.28,279.77
Maharashtra,Pune,Maize,Whole Year,Sandy Loam,406.3,24.8,51.2,41.08,167.3,24.92,2232.69
West Bengal,Burdwan,Jowar,Whole Year,Clay,683.8,27.0,56.7,8.93,294.0,12.72,2153.46
West Bengal,Murshidabad,Mustard,Kharif,Mountain,1155.7,27.9,91.2,10.06,48.9,21.72,4190.7
Karnataka,Raichur,Bajra,Rabi,Sandy Loam,445.4,19.9,66.0,46.67,129.6,8.57,2893.54
Maharashtra,Nagpur,Soybean,Rabi,Sandy Loam,365.3,22.5,59.4,19.24,46.5,4.57,4485.47
Maharashtra,Kolhapur,Chana (Gram),Zaid,Red,73.8,33.2,34.8,41.43,279.7,15.14,6327.96
Telangana,Nalgonda,Potato,Zaid,Sandy Loam,150.3,35.8,25.5,2.41,210.5,14.29,1907.44
Andhra Pradesh,Krishna,Groundnut,Rabi,Alluvial,365.7,14.6,52.1,39.44,112.6,22.03,5656.94
Uttar Pradesh,Meerut,Maize,Rabi,Black (Regur),270.8,19.7,56.9,48.29,289.8,21.46,2667.9
Punjab,Ludhiana,Wheat,Rabi,Clay,236.4,18.9,56.6,24.35,178.0,24.56,2272.85
Telangana,Warangal,Potato,Whole Year,Black (Regur),515.9,26.2,51.8,14.58,105.1,21.92,1181.65
Gujarat,Surat,Maize,Zaid,Mountain,202.6,39.2,40.0,19.15,193.2,1.48,2296.99
Punjab,Ludhiana,Mustard,Rabi,Black (Regur),250.0,22.2,65.0,47.39,133.4,20.32,5639.5
Telangana,Nalgonda,Bajra,Rabi,Laterite,271.2,14.9,48.5,21.84,30.1,13.6,2471.14
Punjab,Amritsar,Mustard,Whole Year,Laterite,724.7,27.7,65.5,46.83,254.5,3.38,3535.12
Andhra Pradesh,Guntur,Potato,Whole Year,Desert (Arid),384.8,23.0,67.2,20.16,144.6,2.05,754.44
Tamil Nadu,Tirunelveli,Maize,Kharif,Mountain,1188.1,32.2,65.0,35.54,252.4,24.41,1509.45
Gujarat,Rajkot,Jowar,Rabi,Desert (Arid),192.8,21.1,61.6,45.0,292.1,17.77,3207.22
Tamil Nadu,Coimbatore,Wheat,Kharif,Mountain,615.0,30.8,72.0,39.1,144.9,23.3,1915.65
Andhra Pradesh,Krishna,Tomato,Whole Year,Black (Regur),827.2,24.9,71.1,26.03,282.1,24.44,570.61
Telangana,Warangal,Maize,Zaid,Red,196.1,32.5,57.2,27.09,195.3,5.45,2871.08
Gujarat,Ahmedabad,Soybean,Kharif,Alluvial,861.9,30.9,83.4,11.68,142.6,23.67,3273.55
Madhya Pradesh,Bhopal,Maize,Zaid,Black (Regur),175.3,33.7,40.9,22.02,84.0,18.19,2364.95
Rajasthan,Udaipur,Mustard,Zaid,Desert (Arid),113.3,32.2,20.0,25.66,142.3,24.87,5711.23
Rajasthan,Udaipur,Sugarcane,Kharif,Mountain,611.1,33.8,84.5,3.02,294.8,11.99,245.99
Madhya Pradesh,Gwalior,Bajra,Zaid,Clay,107.3,,50.2,21.69,198.6,21.48,3080.56
Bihar,Darbhanga,Tur (Arhar),Rabi,Desert (Arid),197.8,24.1,58.0,40.7,161.6,18.55,7635.81
Uttar Pradesh,Agra,Maize,Rabi,Mountain,387.6,20.0,47.5,37.49,270.5,7.18,2066.39
Maharashtra,Nashik,Cotton,Zaid,Black (Regur),145.4,34.5,40.8,38.15,218.3,4.79,6157.85
Gujarat,Rajkot,Cotton,Rabi,Black (Regur),140.9,19.0,43.6,27.74,217.4,2.21,7021.33
Tamil Nadu,Madurai,Groundnut,Whole Year,Red,477.4,31.9,59.9,18.36,69.4,11.95,5871.74
Tamil Nadu,Thanjavur,Cotton,Rabi,Black (Regur),469.7,15.5,55.1,22.22,104.8,9.55,8343.12
Madhya Pradesh,Gwalior,Rice,Whole Year,Desert (Arid),726.6,27.1,55.1,30.87,269.1,22.76,1318.92
Bihar,Muzaffarpur,Mustard,Rabi,Laterite,315.2,16.3,49.7,20.66,179.1,14.03,4997.76
Andhra Pradesh,Kurnool,Chana (Gram),Whole Year,Mountain,782.1,26.0,70.4,44.55,108.0,10.34,5132.55
Gujarat,Junagadh,Jowar,Zaid,Red,143.3,35.3,44.9,8.91,74.7,1.92,4462.78
Rajasthan,Jaipur,Chana (Gram),Kharif,Black (Regur),1397.7,32.0,64.8,13.6,275.7,3.93,3357.62
West Bengal,Hooghly,Tomato,Zaid,Red,171.2,41.0,42.6,21.78,141.1,6.7,1684.02
Gujarat,Rajkot,Tur (Arhar),Kharif,Desert (Arid),1015.6,29.3,79.0,49.71,30.8,5.6,5179.7
Punjab,Amritsar,Chana (Gram),Kharif,Red,1075.9,35.4,75.7,9.85,74.7,10.55,4716.78
Telangana,Nalgonda,Maize,Rabi,Mountain,256.5,20.6,44.7,46.21,88.8,18.38,2404.25
Maharashtra,Pune,Maize,Rabi,Laterite,161.8,22.2,52.0,14.83,242.9,22.74,1880.25
Karnataka,Belgaum,Rice,Whole Year,Desert (Arid),770.0,24.6,60.1,11.62,257.1,10.28,2532.28
Maharashtra,Pune,Sugarcane,Rabi,Sandy Loam,144.3,24.7,45.9,42.62,257.5,6.08,327.94
Punjab,Patiala,Bajra,Kharif,Alluvial,1058.2,27.0,68.5,46.96,223.9,11.31,2308.42
West Bengal,Burdwan,Chana (Gram),Zaid,Red,163.2,38.4,23.5,6.33,86.7,12.82,6518.31
Bihar,Darbhanga,Chana (Gram),Kharif,Clay,380.5,32.5,68.5,34.06,166.5,5.12,5024.92
Rajasthan,Jaipur,Tomato,Rabi,Red,190.4,23.8,56.9,32.09,152.7,24.67,2620.71
Punjab,Patiala,Bajra,Rabi,Desert (Arid),230.0,17.6,48.5,44.23,104.4,19.37,3514.09
Bihar,Darbhanga,Rice,Rabi,Black (Regur),452.3,22.4,77.4,35.74,177.8,12.64,2913.04
Gujarat,Rajkot,Groundnut,Whole Year,Clay,482.0,21.0,54.5,37.61,92.1,21.73,4783.72
Andhra Pradesh,East Godavari,Chana (Gram),Whole Year,Black (Regur),454.2,30.0,56.2,11.92,27.6,23.98,5047.6
Telangana,Karimnagar,Wheat,Rabi,Alluvial,336.3,18.3,58.7,10.48,268.7,20.39,2275.32
Madhya Pradesh,Indore,Potato,Zaid,Sandy Loam,243.5,35.4,54.7,16.94,67.4,5.69,1014.23
Telangana,Warangal,Rice,Kharif,Desert (Arid),693.4,28.5,78.1,29.22,236.8,15.96,1920.94
West Bengal,Murshidabad,Groundnut,Zaid,Red,134.4,35.3,44.0,23.65,67.5,20.02,7127.12
Rajasthan,Jodhpur,Tomato,Zaid,Mountain,186.1,32.0,46.7,4.35,234.2,8.04,2914.88
Gujarat,Junagadh,Jowar,Kharif,Red,779.3,32.2,59.0,27.94,194.1,15.45,2626.27
Punjab,Patiala,Bajra,Kharif,Clay,1094.7,31.1,59.4,20.75,44.3,5.95,2021.45
Uttar Pradesh,Varanasi,Jowar,Kharif,Clay,737.8,28.2,68.6,23.89,159.8,15.68,2462.47
Bihar,Bhagalpur,Wheat,Kharif,Laterite,523.7,29.9,77.7,24.34,278.1,12.59,1819.18
Punjab,Jalandhar,Sugarcane,Kharif,Alluvial,1124.7,33.3,68.7,0.53,140.9,19.35,241.76
Telangana,Nalgonda,Tomato,Kharif,Laterite,950.0,27.9,94.3,16.65,199.6,10.6,1849.33
Madhya Pradesh,Indore,Chana (Gram),Rabi,Clay,211.8,20.6,57.5,49.94,82.7,7.53,6466.21
Andhra Pradesh,Kurnool,Wheat,Zaid,Red,113.0,35.3,54.9,43.07,281.2,5.49,2476.25
Madhya Pradesh,Bhopal,Tomato,Rabi,Sandy Loam,439.2,23.1,75.4,45.35,243.6,7.09,1749.58
Punjab,Patiala,Groundnut,Rabi,Mountain,231.7,26.3,63.7,17.01,112.6,3.62,6112.19
Rajasthan,Jaipur,Chana (Gram),Whole Year,Desert (Arid),236.9,24.9,46.0,1.55,108.6,4.84,4089.37
Bihar,Muzaffarpur,Onion,Kharif,Alluvial,883.5,30.8,69.7,8.19,189.8,11.39,2181.94
Gujarat,Ahmedabad,Rice,Zaid,Black (Regur),242.0,33.7,31.2,45.24,173.9,4.18,3316.21
Bihar,Darbhanga,Potato,Rabi,Desert (Arid),179.7,19.1,49.1,24.12,120.7,6.0,1549.03
Karnataka,Dharwad,Groundnut,Zaid,Mountain,213.8,29.0,54.0,30.72,237.5,20.36,6361.71
Rajasthan,Jodhpur,Maize,Kharif,Clay,772.1,30.0,81.6,23.02,135.9,4.83,1591.19
Tamil Nadu,Madurai,Rice,Rabi,Sandy Loam,363.3,19.5,56.0,47.62,23.4,19.19,3154.84
West Bengal,Burdwan,Wheat,Whole Year,Alluvial,450.8,28.2,70.5,30.93,136.8,14.51,1989.75
Madhya Pradesh,Indore,Onion,Zaid,Laterite,155.3,35.7,28.2,25.74,107.4,24.25,1508.98
Rajasthan,Udaipur,Jowar,Whole Year,Desert (Arid),613.3,28.8,70.1,11.15,260.7,9.77,2553.09
Rajasthan,Jaipur,Sugarcane,Kharif,Mountain,414.0,27.3,86.4,49.37,62.2,2.67,316.79
West Bengal,Nadia,Maize,Rabi,Desert (Arid),525.5,19.2,73.0,42.36,165.6,21.15,2339.13
Maharashtra,Nashik,Potato,Zaid,Laterite,176.5,31.2,53.4,7.51,62.8,17.34,1025.09
Rajasthan,Udaipur,Jowar,Zaid,Red,199.0,35.5,35.4,2.09,192.0,9.66,2953.22
Karnataka,Dharwad,Groundnut,Rabi,Laterite,465.7,23.5,53.4,40.61,125.8,13.5,5953.17
Gujarat,Surat,Chana (Gram),Kharif,Alluvial,976.2,28.1,59.3,47.15,26.2,15.23,4232.85
West Bengal,Hooghly,Potato,Whole Year,Sandy Loam,746.3,28.6,59.3,2.6,144.6,13.9,1342.22
Andhra Pradesh,East Godavari,Wheat,Whole Year,Desert (Arid),531.7,24.3,81.0,24.25,293.9,12.13,2461.2
Karnataka,Mysore,Mustard,Kharif,Alluvial,813.4,24.0,70.5,21.47,280.4,12.81,4024.36
Telangana,Karimnagar,Wheat,Rabi,Laterite,276.7,27.4,59.8,19.8,168.6,24.42,2146.84
Gujarat,Surat,Sugarcane,Zaid,Mountain,98.5,35.5,48.3,9.48,208.9,6.96,418.2
Madhya Pradesh,Bhopal,Wheat,Whole Year,Alluvial,226.2,27.9,65.2,11.08,272.0,8.89,1801.21
Punjab,Patiala,Chana (Gram),Rabi,Black (Regur),191.8,24.1,53.5,40.44,282.3,15.36,4930.95
Punjab,Ludhiana,Wheat,Zaid,Clay,158.6,36.9,41.8,9.31,191.7,0.85,2077.89
Punjab,Patiala,Sugarcane,Rabi,Red,207.2,14.2,63.9,2.12,98.2,5.23,364.38
Karnataka,Belgaum,Bajra,Kharif,Black (Regur),754.1,34.8,83.2,37.95,297.4,23.25,1932.82
Tamil Nadu,Thanjavur,Chana (Gram),Zaid,Clay,146.7,35.5,58.1,44.83,141.6,19.29,6277.26
Bihar,Darbhanga,Groundnut,Whole Year,Alluvial,165.0,23.2,64.3,32.98,29.6,19.37,5327.55
Telangana,Medak,Cotton,Whole Year,Laterite,458.7,27.2,63.1,2.6,145.5,7.0,6374.62
Gujarat,Junagadh,Potato,Rabi,Clay,165.3,18.7,38.2,25.37,137.0,6.81,1127.98
Karnataka,Shimoga,Groundnut,Rabi,Clay,370.9,20.0,38.7,13.21,291.5,19.73,4340.26
Punjab,Ludhiana,Sugarcane,Whole Year,Red,715.3,26.3,76.9,13.54,280.3,3.32,219.31
Madhya Pradesh,Indore,Onion,Kharif,Alluvial,919.4,28.6,57.7,25.86,92.4,16.74,2545.87
Karnataka,Dharwad,Wheat,Zaid,Red,65.0,33.1,37.9,22.41,63.8,3.05,3197.88
Rajasthan,Kota,Potato,Whole Year,Alluvial,561.7,26.9,61.3,6.14,280.3,23.71,815.44
Karnataka,Belgaum,Jowar,Whole Year,Clay,311.7,24.5,60.3,35.41,38.8,1.45,3045.89
Karnataka,Mysore,Tomato,Whole Year,Mountain,371.4,31.5,68.6,43.88,58.2,8.34,1129.58
Uttar Pradesh,Agra,Jowar,Rabi,Mountain,242.5,22.1,58.6,10.25,93.3,15.86,3937.29
Maharashtra,Pune,Soybean,Rabi,Desert (Arid),206.7,23.1,52.1,48.33,166.2,22.79,4788.15
